Date	Time	Severity	PID	TID	Function	Message
30-06-2025	22:04:57.697	ERROR	 32748	 22240	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:04:57.699	 INFO	 32748	 22240	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:04:57.826	 INFO	 15204	  1200	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:04:57.830	 INFO	 15204	 14588	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:04:57.849	ERROR	 15204	 14588	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:04:57.851	 INFO	 15204	 14588	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:04:57.896	 INFO	  1216	 26688	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-06-2025	22:04:57.897	 INFO	  1216	 26688	Injector	"PolicyVersion : 1750846459"
30-06-2025	22:04:58.088	 INFO	 32748	 22240	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-06-2025	22:04:58.091	 INFO	 32748	 22240	Injector	"PolicyVersion : 1750846459"
30-06-2025	22:05:13.469	 INFO	  2080	 22232	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:05:13.472	 INFO	  2080	 31604	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:05:13.488	ERROR	  2080	 31604	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:05:13.490	 INFO	  2080	 31604	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:05:13.786	 INFO	  2080	 31604	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-06-2025	22:05:13.788	 INFO	  2080	 31604	Injector	"PolicyVersion : 1750846459"
30-06-2025	22:05:14.632	 INFO	 25612	 34024	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:05:14.635	 INFO	 25612	 15648	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:05:14.649	ERROR	 25612	 15648	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:05:14.651	 INFO	 25612	 15648	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:05:14.782	 INFO	 30100	 26224	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:05:14.785	 INFO	 30100	 28960	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:05:14.802	ERROR	 30100	 28960	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:05:14.804	 INFO	 30100	 28960	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:05:14.936	 INFO	 20588	 28664	DllMain	"DLL_PROCESS_ATTACH "
30-06-2025	22:05:14.940	 INFO	 20588	  3144	InitializeCurrentProcessInfo	"0|0|0"
30-06-2025	22:05:14.954	ERROR	 20588	  3144	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
30-06-2025	22:05:14.957	 INFO	 20588	  3144	ProcessEdlpPolicy	"Label Id :NonWork (2)"
30-06-2025	22:05:15.004	 INFO	 25612	 15648	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-06-2025	22:05:15.005	 INFO	 25612	 15648	Injector	"PolicyVersion : 1750846459"
30-06-2025	22:05:15.119	 INFO	 30100	 28960	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
30-06-2025	22:05:15.121	 INFO	 30100	 28960	Injector	"PolicyVersion : 1750846459"
