Date	Time	Severity	PID	TID	Function	Message
30-06-2025	22:40:06.287	 INFO	 18604	 13204	LateInitialization	"Intialization..."
30-06-2025	22:40:06.290	 INFO	 18604	 13204	LateInitialization	"Exe = C:\Users\praveen.kumar\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-06-2025	22:40:06.293	 INFO	 18604	 13204	LateInitialization	"IsExplorer = 0"
30-06-2025	22:40:06.298	 INFO	 18604	 13204	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-06-2025	22:40:06.301	 INFO	 18604	 13204	LateInitialization	"Intialization finished"
30-06-2025	22:40:06.493	 INFO	 22104	 10324	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-06-2025	22:40:06.498	 INFO	 22104	 11748	LateInitialization	"Intialization..."
30-06-2025	22:40:06.501	 INFO	 22104	 11748	LateInitialization	"Exe = C:\Users\praveen.kumar\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-06-2025	22:40:06.505	 INFO	 22104	 11748	LateInitialization	"IsExplorer = 0"
30-06-2025	22:40:06.508	 INFO	 22104	 11748	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-06-2025	22:40:06.511	 INFO	 22104	 11748	LateInitialization	"Intialization finished"
30-06-2025	22:40:50.536	 INFO	 29936	  5156	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-06-2025	22:40:50.539	 INFO	 29936	 32448	LateInitialization	"Intialization..."
30-06-2025	22:40:50.541	 INFO	 29936	 32448	LateInitialization	"Exe = C:\Users\praveen.kumar\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-06-2025	22:40:50.544	 INFO	 29936	 32448	LateInitialization	"IsExplorer = 0"
30-06-2025	22:40:50.546	 INFO	 29936	 32448	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-06-2025	22:40:50.550	 INFO	 29936	 32448	LateInitialization	"Intialization finished"
30-06-2025	22:40:52.039	 INFO	 27372	  3840	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-06-2025	22:40:52.044	 INFO	 27372	 28604	LateInitialization	"Intialization..."
30-06-2025	22:40:52.051	 INFO	 27372	 28604	LateInitialization	"Exe = C:\Users\praveen.kumar\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-06-2025	22:40:52.056	 INFO	 27372	 28604	LateInitialization	"IsExplorer = 0"
30-06-2025	22:40:52.058	 INFO	 27372	 28604	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-06-2025	22:40:52.061	 INFO	 27372	 28604	LateInitialization	"Intialization finished"
30-06-2025	22:40:52.165	 INFO	 31636	 30848	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
30-06-2025	22:40:52.168	 INFO	 31636	  8788	LateInitialization	"Intialization..."
30-06-2025	22:40:52.170	 INFO	 31636	  8788	LateInitialization	"Exe = C:\Users\praveen.kumar\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-06-2025	22:40:52.172	 INFO	 31636	  8788	LateInitialization	"IsExplorer = 0"
30-06-2025	22:40:52.174	 INFO	 31636	  8788	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-06-2025	22:40:52.177	 INFO	 31636	  8788	LateInitialization	"Intialization finished"
30-06-2025	22:41:17.848	 INFO	 33852	 14376	DllMain	"DLL_PROCESS_ATTACH 11:26:08 11.4.2516.10"
